code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
43,13,Man City,MCI,False,11,9,86.0,3.0,5.0,,,False,True
1,14,Man Utd,MUN,False,12,9,89.0,2.0,17.0,,,False,False
4,15,Newcastle,NEW,False,23,9,87.0,2.0,8.0,,,False,True
17,16,Nott'm Forest,NFO,False,15,9,88.0,2.0,12.0,,,False,True
49,17,Sheffield Utd,SHU,False,18,9,89.0,3.0,14.0,,,False,True
6,18,Spurs,TOT,False,21,9,90.0,2.0,10.0,,,False,True
21,19,West Ham,WHU,False,25,9,81.0,3.0,2.0,,,False,False
39,20,Wolves,WOL,False,38,9,82.0,2.0,3.0,,,False,False
3,1,Arsenal,ARS,False,1,10,91.0,2.0,17.0,,,False,True
7,2,Aston Villa,AVL,False,2,10,92.0,2.0,12.0,,,False,True
91,3,Bournemouth,BOU,False,127,10,93.0,2.0,6.0,,,False,True
94,4,Brentford,BRE,False,130,10,95.0,3.0,7.0,,,False,False
36,5,Brighton,BHA,False,131,10,94.0,2.0,10.0,,,False,True
90,6,Burnley,BUR,False,43,10,93.0,2.0,3.0,,,False,False
8,7,Chelsea,CHE,False,4,10,95.0,3.0,4.0,,,False,True
31,8,Crystal Palace,CRY,False,6,10,96.0,3.0,18.0,,,False,True
11,9,Everton,EVE,False,7,10,99.0,3.0,19.0,,,False,False
54,10,Fulham,FUL,False,34,10,94.0,3.0,5.0,,,False,False
14,11,Liverpool,LIV,False,10,10,97.0,2.0,16.0,,,False,True
102,12,Luton,LUT,False,163,10,92.0,3.0,2.0,,,False,False
43,13,Man City,MCI,False,11,10,98.0,4.0,14.0,,,False,False
1,14,Man Utd,MUN,False,12,10,98.0,5.0,13.0,,,False,True
4,15,Newcastle,NEW,False,23,10,100.0,2.0,20.0,,,False,False
17,16,Nott'm Forest,NFO,False,15,10,97.0,4.0,11.0,,,False,False
49,17,Sheffield Utd,SHU,False,18,10,91.0,4.0,1.0,,,False,False
6,18,Spurs,TOT,False,21,10,96.0,2.0,8.0,,,False,False
21,19,West Ham,WHU,False,25,10,99.0,2.0,9.0,,,False,True
39,20,Wolves,WOL,False,38,10,100.0,4.0,15.0,,,False,True
